"filename", "language", "Dart", "YAML", "Java Properties", "Gradle", "Markdown", "C++", "XML", "JSON", "Swift", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\35170\Desktop\+\Flutter\grade2\analysis_options.yaml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\build.gradle", "Gradle", 0, 0, 0, 54, 0, 0, 0, 0, 0, 5, 13, 72
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 1, 9
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 11, 5, 52
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 8, 2, 18
"c:\Users\35170\Desktop\+\Flutter\grade2\android\build.gradle", "Gradle", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\35170\Desktop\+\Flutter\grade2\android\gradle.properties", "Java Properties", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\35170\Desktop\+\Flutter\grade2\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\35170\Desktop\+\Flutter\grade2\android\settings.gradle", "Gradle", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\35170\Desktop\+\Flutter\grade2\assets\data\version.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\function.dart", "Dart", 113, 0, 0, 0, 0, 0, 0, 0, 0, 27, 20, 160
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\login.dart", "Dart", 923, 0, 0, 0, 0, 0, 0, 0, 0, 48, 124, 1095
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\main.dart", "Dart", 2482, 0, 0, 0, 0, 0, 0, 0, 0, 167, 92, 2741
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\topbar.dart", "Dart", 836, 0, 0, 0, 0, 0, 0, 0, 0, 46, 66, 948
"c:\Users\35170\Desktop\+\Flutter\grade2\pubspec.yaml", "YAML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 61, 13, 108
"Total", "-", 4354, 37, 8, 89, 13, 1, 134, 146, 12, 428, 373, 5595
