"filename", "language", "YAML", "Dart", "Objective-C", "Markdown", "JSON", "Gradle", "Java Properties", "XML", "C++", "Java", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\35170\Desktop\+\Flutter\grade2\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 5, 9, 58
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 11, 7, 55
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\java\com\example\xiaonaoweisuo\grade2\grade2\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 3, 7
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 2, 6
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
