"filename", "language", "Swift", "YAML", "C++", "JSON", "HTML", "XML", "Dart", "CMake", "Gradle", "Kotlin", "Java", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 1, 6
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, -1, 14
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\java\com\example\xiaonaoweisuo\grade2\grade2\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, -3, -7
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\kotlin\ink\xiaonaoweisuo\grade\MainActivity.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 7
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\kotlin\ink\xiaonaoweisuo\grade\WidgetProvider.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 14, 16, 169
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\second.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\widget_background.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\layout\app_widget.xml", "XML", 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 8, 2, 94
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\xml\app_widget.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 10, 1, 20
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\35170\Desktop\+\Flutter\grade2\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\RunnerTests\RunnerTests.swift", "Swift", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\Common\Notifications.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\function.dart", "Dart", 0, 0, 0, 0, 0, 0, -21, 0, 0, 0, 0, 15, -2, -8
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 301, 0, 0, 0, 0, 26, 19, 346
