Date : 2024-03-29 01:22:49
Directory : c:\Users\35170\Desktop\+\Flutter\grade2
Total : 47 files,  2628 codes, 381 comments, 276 blanks, all 3285 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |          7 |      1,231 |        202 |         33 |      1,466 |
| C++      |         16 |        548 |        121 |        182 |        851 |
| XML      |          7 |        461 |         19 |          5 |        485 |
| Kotlin   |          2 |        143 |         14 |         19 |        176 |
| JSON     |          2 |        103 |          0 |          2 |        105 |
| Swift    |          6 |         58 |          7 |         20 |         85 |
| CMake    |          2 |         41 |          0 |         12 |         53 |
| HTML     |          1 |         38 |         16 |          6 |         60 |
| YAML     |          1 |          5 |          1 |         -2 |          4 |
| Gradle   |          2 |          4 |          1 |          2 |          7 |
| Java     |          1 |         -4 |          0 |         -3 |         -7 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |         47 |      2,628 |        381 |        276 |      3,285 |
| . (Files)                                                                                                                   |          1 |          5 |          1 |         -2 |          4 |
| android                                                                                                                     |         11 |        261 |         34 |         22 |        317 |
| android (Files)                                                                                                             |          1 |          0 |          0 |          1 |          1 |
| android\app                                                                                                                 |         10 |        261 |         34 |         21 |        316 |
| android\app (Files)                                                                                                         |          1 |          4 |          1 |          1 |          6 |
| android\app\src                                                                                                             |          9 |        257 |         33 |         20 |        310 |
| android\app\src\main                                                                                                        |          8 |        258 |         33 |         20 |        311 |
| android\app\src\main (Files)                                                                                                |          1 |         14 |          1 |         -1 |         14 |
| android\app\src\main\java                                                                                                   |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\java\com                                                                                               |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\java\com\example                                                                                       |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\java\com\example\xiaonaoweisuo                                                                         |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\java\com\example\xiaonaoweisuo\grade2                                                                  |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\java\com\example\xiaonaoweisuo\grade2\grade2                                                           |          1 |         -4 |          0 |         -3 |         -7 |
| android\app\src\main\kotlin                                                                                                 |          2 |        143 |         14 |         19 |        176 |
| android\app\src\main\kotlin\ink                                                                                             |          2 |        143 |         14 |         19 |        176 |
| android\app\src\main\kotlin\ink\xiaonaoweisuo                                                                               |          2 |        143 |         14 |         19 |        176 |
| android\app\src\main\kotlin\ink\xiaonaoweisuo\grade                                                                         |          2 |        143 |         14 |         19 |        176 |
| android\app\src\main\res                                                                                                    |          4 |        105 |         18 |          5 |        128 |
| android\app\src\main\res\drawable                                                                                           |          2 |         12 |          0 |          2 |         14 |
