"filename", "language", "Dart", "XML", "CMake", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\second.xml", "XML", 0, 3, 0, 0, 0, 3
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\drawable\thrid.xml", "XML", 0, 9, 0, 0, 1, 10
"c:\Users\35170\Desktop\+\Flutter\grade2\android\app\src\main\res\layout\app_widget.xml", "XML", 0, 1, 0, 0, 0, 1
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\login.dart", "Dart", 41, 0, 0, -1, -3, 37
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\main.dart", "Dart", 251, 0, 0, 3, -3, 251
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\rewidget.dart", "Dart", 432, 0, 0, 4, 40, 476
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\topbar.dart", "Dart", 106, 0, 0, 0, -2, 104
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\tree\pages.dart", "Dart", 189, 0, 0, 83, 3, 275
"c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, -20, 0, -6, -26
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, -21, 0, -6, -27
"Total", "-", 1019, 13, -41, 89, 24, 1104
